Category SCC,MNRiskS category name,SCC Codes,Subcategories,Surrogate for apportioning,NO2 Frx,Diesel Source,Diesel PM Frx,Source Category,Acronym for Surrogate,2011 Update
NR_RAIL,nonroad - rail,28500201,Railroad Equipment /Diesel /Yard Locomotives,railroads shapefile with weighting for activity,0.33,TRUE,1,Rail,frx_RR_wtd,
NR_RAIL,nonroad - rail,2401085000,Surface Coating /Railroad /Total: All Solvent Types,railroads shapefile with weighting for activity,0.33,FALSE,1,Rail,frx_RR_wtd,moved from A_SURFCOAT
APT_GASSTAT,allocated point - gas stations,2501011014,Residential Portable Gas Cans - Refilling at the Pump - Vapor Displacement,model as individual volume sources,0.75,FALSE,1,Gas-Stations,N/A,move from A_PETRTRAN
APT_GASSTAT,allocated point - gas stations,2501011015,Residential Portable Gas Cans - Refilling at the Pump - Spillage,model as individual volume sources,0.75,FALSE,1,Gas-Stations,N/A,move from A_PETRTRAN
APT_GASSTAT,allocated point - gas stations,2501012014,Commercial Portable Gas Cans - Refilling at the Pump - Vapor Displacement,model as individual volume sources,0.75,FALSE,1,Gas-Stations,N/A,move from A_PETRTRAN
APT_GASSTAT,allocated point - gas stations,2501012015,Commercial Portable Gas Cans - Refilling at the Pump - Spillage,model as individual volume sources,0.75,FALSE,1,Gas-Stations,N/A,move from A_PETRTRAN
APT_GASSTAT,allocated point - gas stations,2501070050,Diesel Service Stations /Stage 1: Total,model as individual volume sources,0.75,TRUE,1,Gas-Stations,N/A,new
APT_GASSTAT,allocated point - gas stations,2501070100,Diesel Service Stations /Stage 2: Total,model as individual volume sources,0.75,TRUE,1,Gas-Stations,N/A,new
APT_GASSTAT,allocated point - gas stations,2501070200,Diesel Service Stations - Underground Tank: Total,model as individual volume sources,0.75,TRUE,1,Gas-Stations,N/A,new
APT_GASSTAT,allocated point - gas stations,2501060050,Gas Stations - Stage 1: Total,model as individual volume sources,0.75,FALSE,1,Gas-Stations,N/A,move from A_PETRTRAN
APT_GASSTAT,allocated point - gas stations,2501060100,Gas Stations - Stage 2: Total,model as individual volume sources,0.75,FALSE,1,Gas-Stations,N/A,move from A_PETRTRAN
APT_GASSTAT,allocated point - gas stations,2501050120 ,Gasoline Distribution Stage I; Tank Trucks in Transit,model as individual volume sources,0.75,FALSE,1,Gas-Stations,N/A,new
APT_GASSTAT,allocated point - gas stations,2501055120,Gasoline Distribution Stage I; Bulk Plants,model as individual volume sources,0.75,FALSE,1,Gas-Stations,N/A,new
APT_GASSTAT,allocated point - gas stations,2501060051,Gasoline Distribution Stage I; Gasoline Service Station Unloading Submerged filling,model as individual volume sources,0.75,FALSE,1,Gas-Stations,N/A,move from A_PETRTRAN
APT_GASSTAT,allocated point - gas stations,2501060052,Gasoline Distribution Stage I; Gasoline Service Station Unloading Splash filling,model as individual volume sources,0.75,FALSE,1,Gas-Stations,N/A,new
APT_GASSTAT,allocated point - gas stations,2501060053,Gasoline Distribution Stage I; Gasoline Service Station Unloading Balanced Submerged filling,model as individual volume sources,0.75,FALSE,1,Gas-Stations,N/A,new
APT_GASSTAT,allocated point - gas stations,2501060201,"Gasoline Distribution Stage I; Underground storage tank, breathing and emptying",model as individual volume sources,0.75,FALSE,1,Gas-Stations,N/A,new
APT_GASSTAT,allocated point - gas stations,2501060200,Gas Stations - Underground Tank: Total,model as individual volume sources,0.75,FALSE,1,Gas-Stations,N/A,move from A_PETRTRAN
APT_GASSTAT,allocated point - gas stations,2201000062,Mobile Sources -Highway Vehicles - Gasoline - Refueling,model as individual volume sources,0.75,FALSE,1,Gas-Stations,N/A,new
APT_GASSTAT,allocated point - gas stations,2202000062,Mobile Sources -Highway Vehicles - Diesel - Refueling,model as individual volume sources,0.75,TRUE,1,Gas-Stations,N/A,new
APT_GASSTAT,allocated point - gas stations,2203000062,Mobile Sources Highway Vehicles - Compressed Natural Gas (CNG) - Refueling,model as individual volume sources,0.75,FALSE,1,Gas-Stations,N/A,new
APT_GASSTAT,allocated point - gas stations,2204000062,Mobile Sources -Highway Vehicles - Liquefied Petroleum Gas (LPG) - Refueling,model as individual volume sources,0.75,FALSE,1,Gas-Stations,N/A,new
APT_GASSTAT,allocated point - gas stations,2205000062,Mobile Sources - Highway Vehicles - Ethanol (E-85) - Refueling,model as individual volume sources,0.75,FALSE,1,Gas-Stations,N/A,new
NR_AIRPORT,nonroad - airports,2265008005,Airport Ground Support Equipment - Mobile - Non-Road Equipment - Gasoline,model as individual volume sources,0.75,FALSE,1,Airports,frx_airports,
NR_AIRPORT,nonroad - airports,2267008005,Airport Ground Support Equipment - Mobile - Non-Road Equipment - Other - LPG,model as individual volume sources,0.75,FALSE,1,Airports,frx_airports,
NR_AIRPORT,nonroad - airports,2268008005,Airport Ground Support Equipment - Mobile - Non-Road Equipment - Other - CNG,model as individual volume sources,0.75,FALSE,1,Airports,frx_airports,
NR_AIRPORT,nonroad - airports,2270008005,Airport Ground Support Equipment - Mobile - Non-Road Equipment - Diesel,model as individual volume sources,0.75,TRUE,1,Airports,frx_airports,
NR_AIRPORT,nonroad - airports,2275001000,Military Aircraft,model as individual volume sources,0.75,FALSE,1,Airports,frx_airports,
NR_AIRPORT,nonroad - airports,2275020000,Commercial Aircraft,model as individual volume sources,0.75,FALSE,1,Airports,frx_airports,
NR_AIRPORT,nonroad - airports,2275050011,General Aviation - Piston,model as individual volume sources,0.75,FALSE,1,Airports,frx_airports,
NR_AIRPORT,nonroad - airports,2275050012,General Aviation - Turbine,model as individual volume sources,0.75,FALSE,1,Airports,frx_airports,
NR_AIRPORT,nonroad - airports,2275060011,Air Taxi - Piston,model as individual volume sources,0.75,FALSE,1,Airports,frx_airports,
NR_AIRPORT,nonroad - airports,2275060012,Air Taxi - Turbine,model as individual volume sources,0.75,FALSE,1,Airports,frx_airports,
NR_AIRPORT,nonroad - airports,2275070000,Aircraft Auxiliary Power Units,model as individual volume sources,0.75,FALSE,1,Airports,frx_airports,
NR_AIRPORT,nonroad - airports,2501080050,Airports : Aviation Gasoline - Stage 1: Total,model as individual volume sources,0.75,FALSE,1,Airports,frx_airports,
NR_AIRPORT,nonroad - airports,2401075000,Surface Coating /Aircraft /Total: All Solvent Types,model as individual volume sources,0.75,FALSE,1,Airports,frx_airports,moved from A_SURFCOAT
NR_AIRPORT,nonroad - airports,2501080100,Airports : Aviation Gasoline - Stage 2: Total,model as individual volume sources,0.75,FALSE,1,Airports,frx_airports,
NR_AIRPORT,nonroad - airports,2275087000,In-flight (non-Landing-Takeoff cycle),model as individual volume sources,0.75,FALSE,1,Airports,frx_airports,
NR_PORTABLE,nonroad - portables,30500208,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,FALSE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
NR_PORTABLE,nonroad - portables,20200401,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,TRUE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
NR_PORTABLE,nonroad - portables,30500261,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,FALSE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
NR_PORTABLE,nonroad - portables,30500262,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,FALSE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
NR_PORTABLE,nonroad - portables,10200501,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,TRUE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
NR_PORTABLE,nonroad - portables,20200102,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,TRUE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
NR_PORTABLE,nonroad - portables,30500290,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,FALSE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
NR_PORTABLE,nonroad - portables,30500214,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,FALSE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
NR_PORTABLE,nonroad - portables,30502503,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,FALSE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
NR_PORTABLE,nonroad - portables,30501050,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,FALSE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
NR_PORTABLE,nonroad - portables,30500206,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,FALSE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
NR_PORTABLE,nonroad - portables,30500255,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,FALSE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
NR_PORTABLE,nonroad - portables,30500213,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,FALSE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
NR_PORTABLE,nonroad - portables,30500203,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,FALSE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
NR_PORTABLE,nonroad - portables,30500258,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,FALSE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
NR_PORTABLE,nonroad - portables,30502006,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,FALSE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
NR_PORTABLE,nonroad - portables,30503811,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,FALSE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
NR_PORTABLE,nonroad - portables,30502002,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,FALSE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
NR_PORTABLE,nonroad - portables,30510399,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,FALSE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
NR_PORTABLE,nonroad - portables,30502001,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,FALSE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
NR_PORTABLE,nonroad - portables,30502005,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,FALSE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
NR_PORTABLE,nonroad - portables,30510298,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,FALSE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
NR_PORTABLE,nonroad - portables,30510199 ,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,FALSE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
NR_PORTABLE,nonroad - portables,30502007,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,FALSE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
NR_PORTABLE,nonroad - portables,30500207,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,TRUE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
NR_PORTABLE,nonroad - portables,30500209,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,FALSE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
NR_PORTABLE,nonroad - portables,30502504,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,FALSE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
NR_PORTABLE,nonroad - portables,20201001,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,FALSE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
NR_PORTABLE,nonroad - portables,30504025,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,FALSE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
NR_PORTABLE,nonroad - portables,30510299,various types,"apportion by construction projects in METRO, Medium High Development Outstate",0.75,FALSE,1,Non-Road,Frx construction in METRO / Frx med &hi intensity development outstate,
A_BOILERS,area - industrial + commercial/institutional,2102004001,Industrial - Distillate Oil - All Boiler Types,"Commercial/Institutional/Industrial in metro - outstate LU categories 23,24 (med & high intensity developed)",0.75,TRUE,1,Area,Frx_Commercial_Industrial_Institutional_in_METRO / Frx_med_hi_development_outstate,
A_BOILERS,area - industrial + commercial/institutional,2102004002,Industrial - Distillate Oil - All IC Engine Types,"Commercial/Institutional/Industrial in metro - outstate LU categories 23,24 (med & high intensity developed)",0.75,TRUE,1,Area,Frx_Commercial_Industrial_Institutional_in_METRO / Frx_med_hi_development_outstate,
A_BOILERS,area - industrial + commercial/institutional,2102005000,Industrial - Residual Oil - Total All Boiler Types,"Commercial/Institutional/Industrial in metro - outstate LU categories 23,24 (med & high intensity developed)",0.75,TRUE,1,Area,Frx_Commercial_Industrial_Institutional_in_METRO / Frx_med_hi_development_outstate,
A_BOILERS,area - industrial + commercial/institutional,2102006000,Industrial - Natural Gas - Total: Boilers and dIC Engines,"Commercial/Institutional/Industrial in metro - outstate LU categories 23,24 (med & high intensity developed)",0.75,FALSE,1,Area,Frx_Commercial_Industrial_Institutional_in_METRO / Frx_med_hi_development_outstate,
A_BOILERS,area - industrial + commercial/institutional,2102007000,Industrial - Liquified Petroleum Gas (LPG) - Total: All Boiler Types,"Commercial/Institutional/Industrial in metro - outstate LU categories 23,24 (med & high intensity developed)",0.75,FALSE,1,Area,Frx_Commercial_Industrial_Institutional_in_METRO / Frx_med_hi_development_outstate,
A_BOILERS,area - industrial + commercial/institutional,2102008000,Industrial - Wood - Total: All Boiler Types,"Commercial/Institutional/Industrial in metro - outstate LU categories 23,24 (med & high intensity developed)",0.75,FALSE,1,Area,Frx_Commercial_Industrial_Institutional_in_METRO / Frx_med_hi_development_outstate,
A_BOILERS,area - industrial + commercial/institutional,2102011000,Industrial - Kerosene - Total: All Boiler Types,"Commercial/Institutional/Industrial in metro - outstate LU categories 23,24 (med & high intensity developed)",0.75,FALSE,1,Area,Frx_Commercial_Industrial_Institutional_in_METRO / Frx_med_hi_development_outstate,
A_BOILERS,area - industrial + commercial/institutional,2102002000,Industrial - Bituminous/Subbituminous Coal /All Boiler Types,"Commercial/Institutional/Industrial in metro - outstate LU categories 23,24 (med & high intensity developed)",0.75,FALSE,1,Area,Frx_Commercial_Industrial_Institutional_in_METRO / Frx_med_hi_development_outstate,new
A_BOILERS,area - industrial + commercial/institutional,2103004001,Commercial/Institutional - Distillate Oil - Boilers,"Commercial/Institutional/Industrial in metro - outstate LU categories 23,24 (med & high intensity developed)",0.75,TRUE,1,Area,Frx_Commercial_Industrial_Institutional_in_METRO / Frx_med_hi_development_outstate,
A_BOILERS,area - industrial + commercial/institutional,2103004002,Commercial/Institutional - Distillate Oil - IC Engines,"Commercial/Institutional/Industrial in metro - outstate LU categories 23,24 (med & high intensity developed)",0.75,TRUE,1,Area,Frx_Commercial_Industrial_Institutional_in_METRO / Frx_med_hi_development_outstate,
A_BOILERS,area - industrial + commercial/institutional,2103005000,Commercial/Institutional - Residual Oil - Total: All Boiler Types,"Commercial/Institutional/Industrial in metro - outstate LU categories 23,24 (med & high intensity developed)",0.75,TRUE,1,Area,Frx_Commercial_Industrial_Institutional_in_METRO / Frx_med_hi_development_outstate,
A_BOILERS,area - industrial + commercial/institutional,2103006000,Commercial/Institutional - Natural Gas - Total: Boilers and IC Engines,"Commercial/Institutional/Industrial in metro - outstate LU categories 23,24 (med & high intensity developed)",0.75,FALSE,1,Area,Frx_Commercial_Industrial_Institutional_in_METRO / Frx_med_hi_development_outstate,
A_BOILERS,area - industrial + commercial/institutional,2103007000,Commercial/Institutional - Liquified ddPetroleum Gas (LPG) - Total: All Combustor Types,"Commercial/Institutional/Industrial in metro - outstate LU categories 23,24 (med & high intensity developed)",0.75,FALSE,1,Area,Frx_Commercial_Industrial_Institutional_in_METRO / Frx_med_hi_development_outstate,
A_BOILERS,area - industrial + commercial/institutional,2103002000,Commercial - Bituminous/Subbituminous Coal /All Boiler Types,"Commercial/Institutional/Industrial in metro - outstate LU categories 23,24 (med & high intensity developed)",0.75,FALSE,1,Area,Frx_Commercial_Industrial_Institutional_in_METRO / Frx_med_hi_development_outstate,new
A_BOILERS,area - industrial + commercial/institutional,2103008000,Commercial/Institutional - Wood - Total: All Boiler Types,"Commercial/Institutional/Industrial in metro - outstate LU categories 23,24 (med & high intensity developed)",0.75,FALSE,1,Area,Frx_Commercial_Industrial_Institutional_in_METRO / Frx_med_hi_development_outstate,
A_BOILERS,area - industrial + commercial/institutional,2103011000,Commercial/Institutional - Kerosene - Total: All Combustor Types,"Commercial/Institutional/Industrial in metro - outstate LU categories 23,24 (med & high intensity developed)",0.75,FALSE,1,Area,Frx_Commercial_Industrial_Institutional_in_METRO / Frx_med_hi_development_outstate,
A_CREMCOMP,"area - composting, animal cremation, waste disposal",2680001000,"Waste disposal - composting - 100% Biosolids (e.g., sewage sludge, manure, mixtures)",land area,0.75,FALSE,1,Area,frx_total_land,
A_CREMCOMP,"area - composting, animal cremation, waste disposal",2680003000,"Waste disposal - composting - 100% Green Waste (e.g., residential or municipal yard waste)",land area,0.75,FALSE,1,Area,frx_total_land,
A_CREMCOMP,"area - composting, animal cremation, waste disposal",-2650000000,Waste disposal - scrap and waste - Toal: All processes,land area,0.75,FALSE,1,Area,frx_total_land,new 2011
A_CREMCOMP,"area - composting, animal cremation, waste disposal",-2650000002,Waste disposal - scrap and waste - Shredding,land area,0.75,FALSE,1,Area,frx_total_land,new 2011
A_CREMCOMP,"area - composting, animal cremation, waste disposal",2810060200,Animal Cremation,land area,0.75,FALSE,1,Area,frx_total_land,
A_FOOD,area - food and kindred products,2302002100,Commercial Cooking - Charbroiling - Conveyorized Charbroiling,"Mixed, Retail, and Other Commercial/Institutional land use in metro - outstate LU categories 23,24 (med & high intensity developed)",0.75,FALSE,1,Area,Frx Commercial/Institutional in METRO / Frx med & hi development,adjusted surrgoate to include institutional
A_FOOD,area - food and kindred products,2302002200,Commercial Cooking - Charbroiling - Under-fired Charbroiling,"Mixed, Retail, and Other Commercial/Institutional land use in metro - outstate LU categories 23,24 (med & high intensity developed)",0.75,FALSE,1,Area,Frx Commercial/Institutional in METRO / Frx med & hi development,adjusted surrgoate to include institutional
A_FOOD,area - food and kindred products,2302003000,Commercial Cooking - Frying - Deep Fat Frying,"Mixed, Retail, and Other Commercial/Institutional land use in metro - outstate LU categories 23,24 (med & high intensity developed)",0.75,FALSE,1,Area,Frx Commercial/Institutional in METRO / Frx med & hi development,adjusted surrgoate to include institutional
A_FOOD,area - food and kindred products,2302003100,Commercial Cooking - Frying - Flat Griddle Frying,"Mixed, Retail, and Other Commercial/Institutional land use in metro - outstate LU categories 23,24 (med & high intensity developed)",0.75,FALSE,1,Area,Frx Commercial/Institutional in METRO / Frx med & hi development,adjusted surrgoate to include institutional
A_FOOD,area - food and kindred products,2302003200,Commercial Cooking - Frying - Clamshell Griddle Frying,"Mixed, Retail, and Other Commercial/Institutional land use in metro - outstate LU categories 23,24 (med & high intensity developed)",0.75,FALSE,1,Area,Frx Commercial/Institutional in METRO / Frx med & hi development,adjusted surrgoate to include institutional
A_HEALTH,area - health services,2850000010,Hospitals,to BGs where hospitals located from ReferenceUSA,0.75,FALSE,1,Area,frx_Hosp,
A_HEALTH,area - health services,2850001000,Health services - Dental Alloy Production,to BGs where hospitals located from ReferenceUSA,0.75,FALSE,1,Area,frx_Hosp,Moved from A_MISCPOP
A_MISCROAD,area - misc roadway by VKT,2311030000,Construction: SIC 15 - 17 - Road Construction,VKT,0.75,FALSE,1,Area,frx_VKT,Moved from A_MISCPOP
A_MISCROAD,area - misc roadway by VKT,2525000000,Inorganic chemical transport - All Transport Types - Total: All Products,VKT,0.75,FALSE,1,Area,frx_VKT,
A_MISCROAD,area - misc roadway by VKT,2461021000,Misc non-industrial: commercial - Cutback Asphalts - Total: All Solvent Types,VKT,0.75,FALSE,1,Area,frx_VKT,
A_MISCROAD,area - misc roadway by VKT,2461022000,Misc Non-industrial: Commercial /Emulsified Asphalt /Total: All Solvent Types,VKT,0.75,FALSE,1,Area,frx_VKT,new 2011
A_MISCROAD,area - misc roadway by VKT,2294000000,All Paved Roads - Total: Fugitives,VKT,0.75,FALSE,1,Area,frx_VKT,
A_MISCROAD,area - misc roadway by VKT,2401008000,Surface Coating - Traffic Markings,VKT,0.75,FALSE,1,Area,frx_VKT,
A_MISCROAD,area - misc roadway by VKT,2296000000,All Unpaved Roads - Total: Fugitives,VKT,0.75,FALSE,1,Area,frx_VKT,
A_MISCAGR,area - misc ag/pesticide/fertilizer,2801000003,Agriculture production - Tilling,fraction of land in land use category 82 (crop production),0.75,FALSE,1,Area,frx_ag,
A_MISCAGR,area - misc ag/pesticide/fertilizer,2801700001,Anhydrous Ammonia,fraction of land in land use category 82 (crop production),0.75,FALSE,1,Area,frx_ag,new
A_MISCAGR,area - misc ag/pesticide/fertilizer,2801700002,Aqueous Ammonia,fraction of land in land use category 82 (crop production),0.75,FALSE,1,Area,frx_ag,new
A_MISCAGR,area - misc ag/pesticide/fertilizer,2801700003,Nitrogen Solutions,fraction of land in land use category 82 (crop production),0.75,FALSE,1,Area,frx_ag,new
A_MISCAGR,area - misc ag/pesticide/fertilizer,2801700004,Urea,fraction of land in land use category 82 (crop production),0.75,FALSE,1,Area,frx_ag,new
